2018-05-14-10:50:37,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:39,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:40,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:42,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:43,3:28:96 1A:0:B6 284.2685
2018-05-14-10:50:45,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:46,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:48,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:49,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:51,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:52,3:28:96 1A:0:B6 284.2685
2018-05-14-10:50:54,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:55,3:28:96 1A:0:B6 284.2685
2018-05-14-10:50:57,3:28:96 1A:0:B6 284.2685
2018-05-14-10:50:58,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:00,3:28:97 1A:0:B7 284.2699
2018-05-14-10:51:01,3:28:97 1A:0:B7 284.2699
2018-05-14-10:51:03,3:28:97 1A:0:B7 284.2699
2018-05-14-10:51:04,3:28:97 1A:0:B7 284.2699
2018-05-14-10:51:06,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:07,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:09,3:28:97 1A:0:B7 284.2699
2018-05-14-10:51:10,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:12,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:13,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:15,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:16,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:18,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:19,3:28:97 1A:0:B7 284.2699
2018-05-14-10:51:21,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:22,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:24,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:25,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:27,3:28:96 1A:0:B6 284.2685
